OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE
1,47.663868,-122.4215317,9/10/14
1,47.663868,-122.4215317,9/10/14
1,47.6701559,-122.1102905,5/24/15
1,47.6701559,-122.1102905,5/24/15
1,47.6545148,-122.1077304,5/27/15
2,47.4796099,-122.2079873,5/16/15
3,47.7087349,-121.376406,6/27/15
2,47.7087349,-121.376406,6/15/15
2,47.7087349,-121.376406,6/15/15
4,47.717019,-121.392657,6/28/15
2,47.662576,-122.12052,6/28/15
1,47.7087349,-121.376406,6/28/15
5,47.7087349,-121.376406,6/28/15
4,47.7087349,-121.376406,6/18/15
1,47.6986938,-121.2032339,6/12/15
1,47.416111,-121.44069,6/8/15
3,47.5007162,-122.2146012,6/8/15
2,47.7124586,-121.3475929,6/19/15
3,47.7087349,-121.376406,6/19/15
1,47.7087349,-121.376406,6/19/15
2,47.7087349,-121.376406,6/18/15
5,47.5416862,-121.8378156,6/29/15
1,47.5416862,-121.8378156,6/30/15
1,47.7087349,-121.376406,6/16/15
2,47.7087349,-121.376406,6/19/15
1,47.7087349,-121.376406,6/21/15
1,47.7087349,-121.376406,6/21/15
2,47.7087349,-121.376406,6/20/15
2,47.7087349,-121.376406,6/23/15
1,47.523852,-121.7963326,6/2/15
1,47.3436769,-122.2047982,6/2/15
7,47.7092,-121.37668,6/22/15
2,47.710885,-121.340719,6/25/15
4,47.7074913,-121.3640678,6/18/15
2,47.7087349,-121.376406,6/23/15
2,47.5891498,-122.1867639,7/11/15
1,47.65424,-122.29137,7/24/15
1,47.5597558,-122.0549817,7/22/15
1,47.5597558,-122.0549817,7/22/15
1,47.5597558,-122.0549817,7/22/15
1,47.5597558,-122.0549817,7/22/15
1,47.5597558,-122.0549817,7/22/15
1,47.5597558,-122.0549817,7/22/15
1,47.711379,-121.341007,7/12/15
2,47.5416862,-121.8378156,7/2/15
1,47.711379,-121.341007,7/12/15
2,47.5891498,-122.1867639,7/11/15
2,47.5891498,-122.1867639,7/11/15
1,47.662576,-122.12052,7/11/15
2,47.5602238,-121.7363691,7/7/15
1,47.6815336,-122.2505453,8/15/15
2,47.6981686,-122.2101878,8/25/15
6,47.5416862,-121.8378156,8/4/15
1,47.6986938,-121.2032339,8/19/15
6,47.6613144,-121.5774536,8/29/15
1,47.1288646,-121.3965225,8/6/15
31,47.4066334,-122.2595633,8/30/15
31,47.4066334,-122.2595633,8/30/15
31,47.4066334,-122.2595633,8/30/15
3,47.5007162,-122.2146012,8/10/15
31,47.4066334,-122.2595633,8/30/15
31,47.4066334,-122.2595633,8/30/15
2,47.5416862,-121.8378156,8/1/15
25,47.663868,-122.4215317,9/6/15
4,47.663868,-122.4215317,9/6/15
4,47.663868,-122.4215317,9/6/15
4,47.663868,-122.4215317,9/6/15
18,47.5354572,-122.0441151,9/7/15
10,47.5359699,-122.0440239,9/6/15
2,47.5063597,-121.7896271,9/19/15
2,47.6815336,-122.2505453,9/7/15
2,47.6981686,-122.2101878,9/1/15
15,47.5007162,-122.2146012,9/4/15
10,47.5359699,-122.0440239,9/6/15
8,47.6981686,-122.2101878,9/4/15
1,47.6815336,-122.2505453,9/4/15
1,47.6950188,-122.0972013,5/19/16
30,47.662576,-122.12052,5/19/16
25,47.662576,-122.12052,5/19/16
1,47.663868,-122.4215317,5/29/16
1,47.65424,-122.29137,5/30/16
1,47.662576,-122.12052,5/30/16
5,47.5354572,-122.0441151,5/30/16
1,47.662576,-122.12052,5/25/16
7,47.599951,-122.134904,5/28/16
6,47.4066334,-122.2595633,5/21/16
7,47.662576,-122.12052,5/28/16
75,47.662576,-122.12052,5/19/16
75,47.662576,-122.12052,5/19/16
75,47.662576,-122.12052,5/19/16
75,47.662576,-122.12052,5/19/16
