OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE
2,47.6640001,-121.9228363,5/29/10
3,47.6640001,-121.9228363,5/30/10
2,47.523852,-121.7963326,5/23/10
1,47.662576,-122.12052,6/21/10
1,47.658745,-122.4182162,6/5/10
1,47.662576,-122.12052,6/3/10
1,47.542376,-121.871602,6/1/10
1,47.662576,-122.12052,6/3/10
2,47.662576,-122.12052,6/12/10
3,47.65424,-122.29137,6/7/10
2,47.3284365,-122.2431564,6/8/10
1,47.662576,-122.12052,6/10/10
1,47.4066334,-122.2595633,6/13/10
1,47.662576,-122.12052,6/22/10
1,47.662576,-122.12052,6/21/10
1,47.3664551,-122.2591209,7/11/10
1,47.3284365,-122.2431564,7/17/10
2,47.3284365,-122.2431564,7/18/10
1,47.3284365,-122.2431564,7/25/10
1,47.3762272,-121.8687737,5/7/11
1,47.7740331,-122.3849192,5/19/11
1,47.7740331,-122.3849192,5/19/11
1,47.662576,-122.12052,5/26/11
2,47.662576,-122.12052,5/26/11
2,47.662576,-122.12052,5/26/11
2,47.662576,-122.12052,5/26/11
1,47.37562,-121.86822,5/21/11
1,47.6980631,-121.9884109,5/28/11
1,47.6980631,-121.9884109,5/28/11
2,47.662576,-122.12052,5/26/11
1,47.662576,-122.12052,6/16/11
2,47.523852,-121.7963326,6/12/11
2,47.523852,-121.7963326,6/19/11
1,47.6815336,-122.2505453,6/16/11
1,47.662576,-122.12052,6/23/11
4,47.662576,-122.12052,6/19/11
1,47.6815336,-122.2505453,6/23/11
1,47.6815336,-122.2505453,6/26/11
1,47.662576,-122.12052,6/11/11
1,47.4066334,-122.2595633,6/26/11
1,47.6815336,-122.2505453,6/26/11
1,47.662576,-122.12052,6/30/11
2,47.5226276,-121.8054843,6/15/11
1,47.6701559,-122.1102905,6/30/11
1,47.6701559,-122.1102905,6/30/11
1,47.6829127,-121.9239418,6/25/11
1,47.4066334,-122.2595633,6/5/11
1,47.662576,-122.12052,6/7/11
1,47.662576,-122.12052,6/6/11
1,47.4066334,-122.2595633,6/5/11
1,47.6815336,-122.2505453,6/9/11
1,47.662576,-122.12052,6/16/11
1,47.662576,-122.12052,6/19/11
1,47.662576,-122.12052,6/18/11
2,47.4190282,-122.2763085,6/13/11
1,47.662576,-122.12052,6/11/11
1,47.662576,-122.12052,6/6/11
2,47.662576,-122.12052,6/2/11
1,47.662576,-122.12052,6/30/11
2,47.662576,-122.12052,6/2/11
2,47.6815336,-122.2505453,7/4/11
2,47.6815336,-122.2505453,7/4/11
2,47.523852,-121.7963326,7/31/11
2,47.523852,-121.7963326,7/4/11
2,47.523852,-121.7963326,7/4/11
2,47.6815336,-122.2505453,7/4/11
1,47.6815336,-122.2505453,7/1/11
2,47.6815336,-122.2505453,7/10/11
2,47.6815336,-122.2505453,7/7/11
1,47.65424,-122.29137,7/10/11
1,47.65424,-122.29137,7/10/11
1,47.4066334,-122.2595633,7/15/11
1,47.6815336,-122.2505453,7/21/11
1,47.6815336,-122.2505453,7/15/11
2,47.662576,-122.12052,5/24/12
2,47.662576,-122.12052,5/24/12
1,47.4066334,-122.2595633,5/24/12
1,47.662576,-122.12052,5/24/12
2,47.663868,-122.4215317,5/26/12
1,47.662576,-122.12052,5/26/12
1,47.662576,-122.12052,5/25/12
1,47.6815336,-122.2505453,5/13/12
1,47.6815336,-122.2505453,5/14/12
1,47.4066334,-122.2595633,5/27/12
2,47.662576,-122.12052,5/24/12
2,47.3293193,-122.2429959,5/27/12
1,47.3265563,-122.2441211,5/26/12
6,47.4066334,-122.2595633,5/28/12
2,47.4190282,-122.2763085,5/30/12
1,47.4066334,-122.2595633,5/27/12
1,47.4190282,-122.2763085,5/31/12
4,47.2448623,-122.0827389,5/26/12
1,47.6815336,-122.2505453,5/19/12
1,47.3877161,-122.3040962,5/30/12
